City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
197,Kintampo,GH,87.64,overcast clouds,8.0563,-1.7306,Adomaa Memorial Hotel
198,Pangai,TO,80.65,overcast clouds,-19.8,-174.35,Ha'apai Beach Resort
202,Sao+Miguel+Do+Araguaia,BR,86.0,scattered clouds,-13.275,-50.1628,Hotel Executivo Palace
206,Akom,CM,71.37,overcast clouds,2.6678,12.7109,Complexe Hôtelier Jeannette
207,Faanui,PF,81.1,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
208,Kibungo,RW,71.6,few clouds,-2.1597,30.5427,Kibungo - Centre St. Joseph Guest House
216,Tiarei,PF,86.0,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
218,Brufut,GM,77.0,clear sky,13.3814,-16.7518,Sheraton Gambia Hotel Resort & Spa
219,Srandakan,ID,75.38,heavy intensity rain,-7.9386,110.2506,Puri Brata
221,Bacolod,PH,74.88,overcast clouds,10.6667,122.95,Planta Hotel & Residences
228,Ballina,AU,73.4,scattered clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
230,Kloulklubed,PW,80.6,broken clouds,7.0419,134.2556,Storyboard Beach Resort
234,Buala,SB,81.86,light rain,-8.145,159.5921,Maringe Lagoon Lodge
243,Cairns,AU,71.6,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
245,Mineros,BO,86.5,overcast clouds,-17.1167,-63.2333,Residencial Imperial
247,Kavieng,PG,82.51,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
248,Kita,ML,81.32,clear sky,13.0349,-9.4895,Hôtel Chat Rouge
250,Acoyapa,NI,91.4,scattered clouds,11.9703,-85.1711,Hotel Los Robles
255,Pedernales,DO,81.48,few clouds,18.0384,-71.744,Hotel Costa Marina
256,Paraopeba,BR,86.0,few clouds,-19.2757,-44.4033,HC Hotel Paraopeba
258,Porto+Novo,BJ,84.2,few clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
259,Kahului,US,75.2,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
260,Mossendjo,CG,70.36,overcast clouds,-2.9506,12.7261,HOTEL D'ASSISE
265,East+London,ZA,71.19,clear sky,-33.0153,27.9116,Tu Casa
268,Chuy,UY,79.81,moderate rain,-33.6971,-53.4616,Nuevo Hotel Plaza
269,Ghanzi,BW,72.23,light rain,-21.5667,21.7833,Ghanzi Farmhouse
275,Viedma,AR,72.0,broken clouds,-40.8135,-62.9967,Hotel Cristal
276,Grand+Gaube,MU,78.01,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
281,Quatre+Cocos,MU,78.8,light rain,-20.2078,57.7625,Emeraude Beach Attitude Hotel
285,Sao+Joao+Batista,BR,84.99,overcast clouds,-27.2761,-48.8494,INNOVARE SLIM SÃO JOÃO BATISTA
289,The+Valley,AI,80.6,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
290,Ewa+Beach,US,78.8,few clouds,21.3156,-158.0072,Base Lodging
292,Mogadishu,SO,76.23,clear sky,2.0371,45.3438,Hotel Juba
293,Capela,BR,77.0,heavy intensity rain,-10.5033,-37.0528,Recanto Tia Josi
294,Ciudad+Bolivar,VE,88.93,broken clouds,8.1222,-63.5497,Hotel Edi
302,Makakilo+City,US,78.8,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
306,Bathsheba,BB,82.4,few clouds,13.2167,-59.5167,Atlantis Hotel
307,Coolum+Beach,AU,73.99,broken clouds,-26.5333,153.1,Palmer Coolum Resort
311,San+Patricio,US,81.0,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
312,San+Carlos+De+Bariloche,AR,77.0,broken clouds,-41.1456,-71.3082,Hotel Patagonia
313,Mahebourg,MU,78.8,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
316,Savelugu,GH,86.02,clear sky,9.6244,-0.8253,Yoo Naa's Palace
322,Dhidhdhoo,MV,81.93,clear sky,6.8833,73.1,Dhidhoo beach
