City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
200,Port+Elizabeth,ZA,-33.918,25.5701,71.6,73,0,12.66,clear sky
201,Lasa,IT,46.6166,10.7002,41.0,75,0,3.44,clear sky
202,Cabo+San+Lucas,MX,22.8909,-109.9124,73.4,60,1,3.44,clear sky
203,Rio+Grande,BR,-32.035,-52.0986,84.2,74,75,11.5,broken clouds
204,Bara,NG,10.3744,10.7288,86.0,15,3,11.5,haze
205,San+Carlos+De+Bariloche,AR,-41.1456,-71.3082,71.6,23,20,4.61,few clouds
206,Kiunga,PG,-6.1219,141.2906,72.63,98,100,1.77,light rain
207,Akdepe,TM,42.0551,59.3788,44.6,57,98,6.91,haze
208,Berlevag,NO,70.8578,29.0864,25.77,96,100,23.53,light snow
209,Comodoro+Rivadavia,AR,-45.8667,-67.5,64.4,45,20,6.91,few clouds
210,Emba,KZ,48.8264,58.1442,16.56,93,20,5.32,few clouds
211,Talcahuano,CL,-36.7167,-73.1167,66.2,82,75,1.14,broken clouds
212,Norman+Wells,CA,65.282,-126.8329,-27.4,75,75,1.7,broken clouds
213,Gwadar,PK,25.1216,62.3254,69.17,63,0,9.24,clear sky
214,Bonavista,CA,48.6499,-53.1147,30.0,86,97,6.91,overcast clouds
215,Basco,PH,20.4487,121.9702,69.67,72,30,25.03,scattered clouds
216,Vestmannaeyjar,IS,63.4427,-20.2734,32.0,80,75,12.66,broken clouds
217,Balabac,PH,7.9868,117.0645,80.29,80,96,23.53,overcast clouds
218,Cherskiy,RU,68.75,161.3,-35.07,83,5,3.8,clear sky
219,Marsh+Harbour,BS,26.5412,-77.0636,65.62,60,53,11.56,broken clouds
220,Pangnirtung,CA,66.1451,-65.7125,-9.4,77,1,2.66,clear sky
221,Ancud,CL,-41.8697,-73.8203,66.2,48,0,6.91,clear sky
222,Kouango,CF,4.9934,19.9619,88.84,17,11,2.91,few clouds
223,Touros,BR,-5.1989,-35.4608,87.8,55,40,13.8,scattered clouds
224,Kununurra,AU,-15.7667,128.7333,78.8,100,100,6.38,overcast clouds
225,Marawi,PH,7.9986,124.2928,66.54,92,99,2.39,overcast clouds
226,Omboue,GA,-1.5746,9.2618,79.77,81,55,8.05,moderate rain
227,Vega+De+Alatorre,MX,20.0333,-96.6333,73.74,72,100,6.42,overcast clouds
228,Chuy,UY,-33.6971,-53.4616,84.74,48,7,11.48,clear sky
229,Pingliang,CN,35.5392,106.6861,29.95,74,99,1.97,overcast clouds
230,Northam,GB,51.0333,-4.2167,44.01,92,100,17.0,light rain
