City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
275,Viedma,AR,-40.8135,-62.9967,72.0,40,51,15.86,broken clouds
276,Grand+Gaube,MU,-20.0064,57.6608,78.01,83,0,3.0,clear sky
277,Margate,GB,51.3813,1.3862,39.99,81,100,4.0,overcast clouds
278,Goderich,CA,43.7501,-81.7165,26.6,68,100,3.44,overcast clouds
279,Saint+George,US,37.1041,-113.5841,48.0,75,1,0.74,clear sky
280,Yar-Sale,RU,66.8333,70.8333,-21.8,85,100,17.07,overcast clouds
281,Quatre+Cocos,MU,-20.2078,57.7625,78.8,89,75,8.05,light rain
282,Carnduff,CA,49.1667,-101.8009,21.99,90,94,3.0,overcast clouds
283,Partanna,IT,37.7278,12.8885,52.0,100,100,1.01,overcast clouds
284,Miranda+De+Ebro,ES,42.6865,-2.947,46.0,87,75,3.44,broken clouds
285,Sao+Joao+Batista,BR,-27.2761,-48.8494,84.99,83,100,1.99,overcast clouds
286,Sur,OM,22.5667,59.5289,66.97,56,0,10.16,clear sky
287,Sorland,NO,67.667,12.6934,31.08,92,55,7.7,broken clouds
288,Aksu,CN,41.1231,80.2644,18.43,82,0,1.61,clear sky
289,The+Valley,AI,18.217,-63.0578,80.6,74,40,11.5,scattered clouds
290,Ewa+Beach,US,21.3156,-158.0072,78.8,61,20,9.22,few clouds
291,Chemal,RU,51.4111,86.005,16.27,89,61,3.94,broken clouds
292,Mogadishu,SO,2.0371,45.3438,76.23,79,0,21.68,clear sky
293,Capela,BR,-10.5033,-37.0528,77.0,88,75,5.75,heavy intensity rain
294,Ciudad+Bolivar,VE,8.1222,-63.5497,88.93,49,83,9.37,broken clouds
295,Winchester,GB,51.0651,-1.3187,39.0,93,75,19.57,broken clouds
296,Tilichiki,RU,60.4667,166.1,-14.75,90,100,19.82,light snow
297,Gwadar,PK,25.1216,62.3254,68.18,66,0,7.87,clear sky
298,Nara,JP,34.6851,135.8049,43.0,53,35,3.0,scattered clouds
299,Hammerfest,NO,70.6634,23.6821,26.6,86,90,18.41,light snow
300,Bozeman,US,45.6796,-111.0386,35.01,90,100,1.99,snow
301,Kasuga,JP,33.0333,130.05,42.01,81,36,8.99,scattered clouds
302,Makakilo+City,US,21.3469,-158.0858,78.8,61,20,9.22,few clouds
303,Lakes+Entrance,AU,-37.8811,147.981,57.0,1,65,5.99,broken clouds
304,La+Ronge,CA,55.1001,-105.2842,12.2,79,70,2.3,broken clouds
305,Luderitz,NA,-26.6481,15.1594,69.37,58,9,26.73,clear sky
306,Bathsheba,BB,13.2167,-59.5167,82.4,65,20,17.27,few clouds
307,Coolum+Beach,AU,-26.5333,153.1,73.99,93,67,3.62,broken clouds
308,Hanmer+Springs,NZ,-42.5167,172.8167,59.9,58,0,2.01,clear sky
309,Abu+Dhabi,AE,24.4667,54.3667,68.0,64,0,1.14,clear sky
310,Guerrero+Negro,MX,27.9769,-114.0611,64.18,48,28,15.14,scattered clouds
311,San+Patricio,US,28.017,-97.5169,81.0,61,75,23.02,broken clouds
312,San+Carlos+De+Bariloche,AR,-41.1456,-71.3082,77.0,13,75,2.3,broken clouds
313,Mahebourg,MU,-20.4081,57.7,78.8,89,75,8.05,light rain
314,Mount+Gambier,AU,-37.8333,140.7667,50.0,93,1,2.77,clear sky
315,Lakselv,NO,70.0513,24.9718,24.8,86,90,9.22,light snow
316,Savelugu,GH,9.6244,-0.8253,86.02,13,0,6.8,clear sky
317,Umba,RU,66.6871,34.3429,11.64,96,100,7.05,light snow
318,Gibsons,CA,49.3997,-123.5027,44.01,87,100,4.61,overcast clouds
319,Callaway,US,30.153,-85.5699,66.2,59,90,10.36,overcast clouds
320,Phan+Thiet,VN,10.9333,108.1,69.98,75,100,4.85,overcast clouds
321,Skjervoy,NO,70.0311,20.9714,27.84,89,100,10.42,overcast clouds
322,Dhidhdhoo,MV,6.8833,73.1,81.93,67,0,7.16,clear sky
323,Wairoa,NZ,-39.0333,177.3667,54.46,86,92,5.61,overcast clouds
324,Parana,AR,-31.732,-60.5238,75.0,78,100,8.99,light rain
325,Itarema,BR,-2.9248,-39.9167,83.55,67,74,16.26,broken clouds
326,Ambulu,ID,-8.345,113.6058,75.92,85,100,2.17,light rain
327,El+Alto,PE,-4.2714,-81.2147,87.8,51,75,17.27,broken clouds
328,Constitucion,CL,-35.3333,-72.4167,66.43,80,72,5.93,broken clouds
329,Ikungi,TZ,-5.1333,34.7667,61.14,94,64,3.96,broken clouds
330,Sao+Gabriel+Da+Cachoeira,BR,-0.1303,-67.0892,90.19,56,94,2.89,overcast clouds
331,Karratha,AU,-20.7377,116.8463,87.44,52,91,12.57,overcast clouds
332,Asfi,MA,32.2994,-9.2372,60.33,83,100,9.86,overcast clouds
333,Bud,US,39.447,-86.1758,35.01,69,100,14.45,overcast clouds
334,Aranos,NA,-24.1333,19.1167,81.46,16,4,8.95,clear sky
335,Caxito,AO,-8.5785,13.6643,80.6,74,40,6.91,scattered clouds
336,Janauba,BR,-15.8025,-43.3089,88.93,33,6,7.54,clear sky
337,Tumaco,CO,1.7986,-78.8156,82.0,78,14,8.9,light rain
338,Santa+Rita+Do+Sapucai,BR,-22.2522,-45.7033,78.12,80,100,1.61,overcast clouds
339,Pekalongan,ID,-6.8886,109.6753,57.99,10,100,10.92,moderate rain
340,Saint-Leu,RE,-21.15,55.2833,78.01,60,6,0.81,clear sky
341,Khandyga,RU,62.6667,135.6,-50.96,76,92,1.5,overcast clouds
342,Port+Macquarie,AU,-31.4333,152.9167,70.0,99,50,8.66,scattered clouds
343,Yatou,CN,37.15,122.3833,38.88,91,100,9.24,overcast clouds
344,Snezhnogorsk,RU,69.1933,33.2531,14.0,92,40,6.71,light snow
345,Pasighat,IN,28.0667,95.3333,54.84,63,0,3.76,clear sky
346,Washington,US,47.5001,-120.5015,37.0,93,100,3.47,overcast clouds
