City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
158,North+Bend,US,2021-01-30 01:02:21,43.4065,-124.2243,46.4,76,90,10.36
159,Fort+Morgan,US,2021-01-30 01:01:21,40.2503,-103.8,37.4,60,1,8.05
160,Zheleznodorozhnyy,RU,2021-01-30 01:02:21,55.7503,38.0042,28.4,80,75,8.95
161,Manica,FR,2021-01-30 01:02:21,49.0,-1.1667,46.4,93,90,6.91
162,Aklavik,CA,2021-01-30 00:53:18,68.2191,-135.0107,-31.0,75,75,2.33
163,Faya,SA,2021-01-30 00:58:33,18.3851,42.4509,57.2,38,0,5.75
164,Jining,CN,2021-01-30 01:02:22,35.405,116.5814,43.0,1,73,2.37
165,The+Colony,US,2021-01-30 00:59:56,33.089,-96.8864,57.99,51,75,10.36
166,Cabedelo,BR,2021-01-30 00:54:34,-6.9811,-34.8339,80.6,83,40,9.22
167,Osmena,PH,2021-01-30 01:02:22,10.5208,119.9258,79.72,76,40,29.1
168,Tukrah,LY,2021-01-30 01:02:22,32.5341,20.5791,59.76,83,100,17.67
169,Biak,ID,2021-01-30 01:02:22,-0.9131,122.8766,81.97,62,100,1.25
170,Christchurch,NZ,2021-01-30 00:55:10,-43.5333,172.6333,63.0,51,90,5.75
171,Mama,RU,2021-01-30 01:02:23,58.3106,112.8986,-37.34,72,21,4.63
172,Victoria,HK,2021-01-30 00:54:43,22.2855,114.1577,61.0,71,0,1.01
173,Nokaneng,BW,2021-01-30 01:02:23,-19.6667,22.2667,69.15,92,77,3.6
174,Council+Bluffs,US,2021-01-30 01:02:23,41.2619,-95.8608,36.0,75,90,10.36
175,Cidreira,BR,2021-01-30 00:52:56,-30.1811,-50.2056,75.65,89,0,8.01
176,Mahibadhoo,MV,2021-01-30 00:58:02,3.7833,72.9667,80.24,76,0,14.14
177,Ternate,ID,2021-01-30 00:53:19,0.8,127.4,81.97,74,56,5.59
178,Nalut,LY,2021-01-30 01:02:12,30.3333,10.85,51.76,45,0,4.36
179,Bredasdorp,ZA,2021-01-30 00:57:43,-34.5322,20.0403,66.94,77,82,4.18
180,Kedrovyy,RU,2021-01-30 01:02:24,56.1667,91.8167,3.2,78,40,13.42
181,Te+Anau,NZ,2021-01-30 01:02:24,-45.4167,167.7167,60.67,51,2,1.9
182,Husavik,IS,2021-01-30 01:02:24,66.0449,-17.3389,30.2,86,90,3.44
183,Saint-Philippe,RE,2021-01-30 00:57:43,-21.3585,55.7679,78.8,61,0,6.91
184,Aitape,PG,2021-01-30 01:02:24,-3.1374,142.3475,82.53,76,100,8.5
185,Paramonga,PE,2021-01-30 00:58:18,-10.6667,-77.8333,70.47,80,100,6.11
186,Shingu,JP,2021-01-30 01:02:25,33.7333,135.9833,39.2,56,40,11.5
187,Jalu,LY,2021-01-30 00:58:03,29.0331,21.5482,54.07,71,0,10.0
188,Chuy,UY,2021-01-30 00:58:03,-33.6971,-53.4616,68.49,92,3,2.19
189,Crepaja,RS,2021-01-30 01:02:25,45.0094,20.6356,45.0,100,100,3.44
190,Torbay,CA,2021-01-30 00:58:43,47.6666,-52.7314,28.99,93,90,24.16
191,Alihe,CN,2021-01-30 01:02:25,50.5667,123.7167,-19.3,84,89,0.47
192,Taoudenni,ML,2021-01-30 00:57:39,22.6783,-3.9836,69.06,24,0,12.35
193,Isangel,VU,2021-01-30 00:58:19,-19.55,169.2667,86.0,66,40,9.22
